tab 	specimens
citations	method_codes	result_quality	sample	specimen	specimen_name_alternatives	volume
This study	FS-C-DRILL-IODP	g	999-U999A-1H-3-A-22.5	999-U999A-1H-3-A-22.5		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-3-A-50.0	999-U999A-1H-3-A-50.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-3-A-20.0	999-U999A-1H-3-A-20.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-3-A-15.0	999-U999A-1H-3-A-15.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-3-A-12.5	999-U999A-1H-3-A-12.5		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-3-A-10.0	999-U999A-1H-3-A-10.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-3-A-7.5	999-U999A-1H-3-A-7.5		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-3-A-5.0	999-U999A-1H-3-A-5.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-3-A-2.5	999-U999A-1H-3-A-2.5		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-3-A-0.0	999-U999A-1H-3-A-0.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-3-A-0.0	999-U999A-1H-3-A-0.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-3-A-2.5	999-U999A-1H-3-A-2.5		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-3-A-5.0	999-U999A-1H-3-A-5.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-3-A-7.5	999-U999A-1H-3-A-7.5		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-3-A-17.5	999-U999A-1H-3-A-17.5		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-3-A-52.5	999-U999A-1H-3-A-52.5		
