tab 	samples
azimuth	citations	dip	geologic_classes	geologic_types	lat	lithologies	lon	method_codes	orientation_quality	result_quality	result_type	sample	sample_alternatives	site	timestamp
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:SP-SS-C:FS-C-DRILL-IODP	g	g	i	318-U1361A-007H-2-W-110	CUBE2212371	318-U1361A-007H-2-W-110	2010-02-26T14:46:00Z
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:SP-SS-C:FS-C-DRILL-IODP	g	g	i	318-U1361A-007H-3-W-135	CUBE2212381	318-U1361A-007H-3-W-135	2010-02-26T14:46:00Z
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:SP-SS-C:FS-C-DRILL-IODP	g	g	i	318-U1361A-007H-4-W-42	CUBE2212391	318-U1361A-007H-4-W-42	2010-02-26T14:46:00Z
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:SP-SS-C:FS-C-DRILL-IODP	g	g	i	318-U1361A-007H-5-W-110	CUBE2212401	318-U1361A-007H-5-W-110	2010-02-26T14:46:00Z
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:SP-SS-C:FS-C-DRILL-IODP	g	g	i	318-U1361A-007H-6-W-23	CUBE2212411	318-U1361A-007H-6-W-23	2010-02-26T14:46:00Z
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:SP-SS-C:FS-C-DRILL-IODP	g	g	i	318-U1361A-007H-7-W-20	CUBE2212421	318-U1361A-007H-7-W-20	2010-02-26T14:46:00Z
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-007H_1A-0.55		318-U1361A-007H_1A-0.55	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-007H_1A-0.6		318-U1361A-007H_1A-0.6	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-007H_1A-0.65		318-U1361A-007H_1A-0.65	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-007H_1A-0.7		318-U1361A-007H_1A-0.7	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-007H_1A-0.75		318-U1361A-007H_1A-0.75	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-007H_1A-0.8		318-U1361A-007H_1A-0.8	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-007H_1A-0.85		318-U1361A-007H_1A-0.85	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-007H_1A-0.9		318-U1361A-007H_1A-0.9	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-007H_1A-0.95		318-U1361A-007H_1A-0.95	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-007H_1A-1		318-U1361A-007H_1A-1	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-007H_1A-1.05		318-U1361A-007H_1A-1.05	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-007H_1A-1.1		318-U1361A-007H_1A-1.1	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-007H_1A-1.15		318-U1361A-007H_1A-1.15	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-007H_1A-1.2		318-U1361A-007H_1A-1.2	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-007H_1A-1.25		318-U1361A-007H_1A-1.25	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-007H_1A-1.3		318-U1361A-007H_1A-1.3	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-007H_1A-1.35		318-U1361A-007H_1A-1.35	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-007H_1A-1.4		318-U1361A-007H_1A-1.4	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-007H_2A-0.1		318-U1361A-007H_2A-0.1	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-007H_2A-0.15		318-U1361A-007H_2A-0.15	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-007H_2A-0.2		318-U1361A-007H_2A-0.2	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-007H_2A-0.25		318-U1361A-007H_2A-0.25	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-007H_2A-0.3		318-U1361A-007H_2A-0.3	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-007H_2A-0.35		318-U1361A-007H_2A-0.35	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-007H_2A-0.4		318-U1361A-007H_2A-0.4	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-007H_2A-0.45		318-U1361A-007H_2A-0.45	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-007H_2A-0.5		318-U1361A-007H_2A-0.5	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-007H_2A-0.55		318-U1361A-007H_2A-0.55	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-007H_2A-0.6		318-U1361A-007H_2A-0.6	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-007H_2A-0.65		318-U1361A-007H_2A-0.65	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-007H_2A-0.7		318-U1361A-007H_2A-0.7	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-007H_2A-0.75		318-U1361A-007H_2A-0.75	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-007H_2A-0.8		318-U1361A-007H_2A-0.8	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-007H_2A-0.85		318-U1361A-007H_2A-0.85	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-007H_2A-0.9		318-U1361A-007H_2A-0.9	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-007H_2A-0.95		318-U1361A-007H_2A-0.95	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-007H_2A-1		318-U1361A-007H_2A-1	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-007H_2A-1.05		318-U1361A-007H_2A-1.05	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-007H_2A-1.1		318-U1361A-007H_2A-1.1	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-007H_2A-1.15		318-U1361A-007H_2A-1.15	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-007H_2A-1.2		318-U1361A-007H_2A-1.2	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-007H_2A-1.25		318-U1361A-007H_2A-1.25	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-007H_2A-1.3		318-U1361A-007H_2A-1.3	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-007H_2A-1.35		318-U1361A-007H_2A-1.35	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-007H_2A-1.4		318-U1361A-007H_2A-1.4	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-007H_3A-0.1		318-U1361A-007H_3A-0.1	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-007H_3A-0.15		318-U1361A-007H_3A-0.15	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-007H_3A-0.2		318-U1361A-007H_3A-0.2	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-007H_3A-0.25		318-U1361A-007H_3A-0.25	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-007H_3A-0.3		318-U1361A-007H_3A-0.3	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-007H_3A-0.35		318-U1361A-007H_3A-0.35	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-007H_3A-0.4		318-U1361A-007H_3A-0.4	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-007H_3A-0.45		318-U1361A-007H_3A-0.45	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-007H_3A-0.5		318-U1361A-007H_3A-0.5	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-007H_3A-0.55		318-U1361A-007H_3A-0.55	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-007H_3A-0.6		318-U1361A-007H_3A-0.6	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-007H_3A-0.65		318-U1361A-007H_3A-0.65	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-007H_3A-0.7		318-U1361A-007H_3A-0.7	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-007H_3A-0.75		318-U1361A-007H_3A-0.75	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-007H_3A-0.8		318-U1361A-007H_3A-0.8	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-007H_3A-0.85		318-U1361A-007H_3A-0.85	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-007H_3A-0.9		318-U1361A-007H_3A-0.9	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-007H_3A-0.95		318-U1361A-007H_3A-0.95	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-007H_3A-1		318-U1361A-007H_3A-1	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-007H_3A-1.05		318-U1361A-007H_3A-1.05	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-007H_3A-1.1		318-U1361A-007H_3A-1.1	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-007H_3A-1.15		318-U1361A-007H_3A-1.15	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-007H_3A-1.2		318-U1361A-007H_3A-1.2	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-007H_3A-1.25		318-U1361A-007H_3A-1.25	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-007H_3A-1.3		318-U1361A-007H_3A-1.3	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-007H_3A-1.35		318-U1361A-007H_3A-1.35	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-007H_3A-1.4		318-U1361A-007H_3A-1.4	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-007H_4A-0.1		318-U1361A-007H_4A-0.1	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-007H_4A-0.15		318-U1361A-007H_4A-0.15	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-007H_4A-0.2		318-U1361A-007H_4A-0.2	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-007H_4A-0.25		318-U1361A-007H_4A-0.25	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-007H_4A-0.3		318-U1361A-007H_4A-0.3	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-007H_4A-0.35		318-U1361A-007H_4A-0.35	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-007H_4A-0.4		318-U1361A-007H_4A-0.4	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-007H_4A-0.45		318-U1361A-007H_4A-0.45	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-007H_4A-0.6		318-U1361A-007H_4A-0.6	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-007H_4A-0.65		318-U1361A-007H_4A-0.65	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-007H_4A-0.7		318-U1361A-007H_4A-0.7	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-007H_4A-0.75		318-U1361A-007H_4A-0.75	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-007H_4A-0.8		318-U1361A-007H_4A-0.8	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-007H_4A-0.85		318-U1361A-007H_4A-0.85	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-007H_4A-0.9		318-U1361A-007H_4A-0.9	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-007H_4A-0.95		318-U1361A-007H_4A-0.95	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-007H_4A-1		318-U1361A-007H_4A-1	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-007H_4A-1.05		318-U1361A-007H_4A-1.05	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-007H_4A-1.1		318-U1361A-007H_4A-1.1	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-007H_4A-1.15		318-U1361A-007H_4A-1.15	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-007H_4A-1.2		318-U1361A-007H_4A-1.2	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-007H_4A-1.25		318-U1361A-007H_4A-1.25	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-007H_4A-1.3		318-U1361A-007H_4A-1.3	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-007H_4A-1.35		318-U1361A-007H_4A-1.35	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-007H_4A-1.4		318-U1361A-007H_4A-1.4	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-007H_5A-0.1		318-U1361A-007H_5A-0.1	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-007H_5A-0.15		318-U1361A-007H_5A-0.15	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-007H_5A-0.2		318-U1361A-007H_5A-0.2	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-007H_5A-0.25		318-U1361A-007H_5A-0.25	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-007H_5A-0.3		318-U1361A-007H_5A-0.3	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-007H_5A-0.35		318-U1361A-007H_5A-0.35	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-007H_5A-0.4		318-U1361A-007H_5A-0.4	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-007H_5A-0.45		318-U1361A-007H_5A-0.45	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-007H_5A-0.5		318-U1361A-007H_5A-0.5	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-007H_5A-0.55		318-U1361A-007H_5A-0.55	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-007H_5A-0.6		318-U1361A-007H_5A-0.6	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-007H_5A-0.65		318-U1361A-007H_5A-0.65	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-007H_5A-0.7		318-U1361A-007H_5A-0.7	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-007H_5A-0.75		318-U1361A-007H_5A-0.75	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-007H_5A-0.8		318-U1361A-007H_5A-0.8	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-007H_5A-0.85		318-U1361A-007H_5A-0.85	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-007H_5A-0.9		318-U1361A-007H_5A-0.9	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-007H_5A-0.95		318-U1361A-007H_5A-0.95	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-007H_5A-1		318-U1361A-007H_5A-1	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-007H_5A-1.05		318-U1361A-007H_5A-1.05	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-007H_5A-1.1		318-U1361A-007H_5A-1.1	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-007H_5A-1.15		318-U1361A-007H_5A-1.15	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-007H_5A-1.2		318-U1361A-007H_5A-1.2	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-007H_5A-1.25		318-U1361A-007H_5A-1.25	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-007H_5A-1.3		318-U1361A-007H_5A-1.3	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-007H_5A-1.35		318-U1361A-007H_5A-1.35	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-007H_5A-1.4		318-U1361A-007H_5A-1.4	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-007H_6A-0.1		318-U1361A-007H_6A-0.1	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-007H_6A-0.15		318-U1361A-007H_6A-0.15	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-007H_6A-0.2		318-U1361A-007H_6A-0.2	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-007H_6A-0.25		318-U1361A-007H_6A-0.25	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-007H_6A-0.3		318-U1361A-007H_6A-0.3	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-007H_6A-0.35		318-U1361A-007H_6A-0.35	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-007H_6A-0.4		318-U1361A-007H_6A-0.4	
